City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
372,Puerto Leguizamo,CO,72.21,light rain,-0.1934,-74.7819,la casona de juancho
375,Fortuna,US,65.93,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
376,Zhigalovo,RU,69.4,overcast clouds,54.8097,105.1578,"Hotel ""Lenatur"""
378,Severo-Yeniseyskiy,RU,62.94,few clouds,60.3725,93.0408,Aktolik
385,Sinnamary,GF,78.13,clear sky,5.3833,-52.95,ALETHEIA Appartement Sinnamary
388,Monte Alegre,BR,74.91,scattered clouds,-2.0078,-54.0692,Hotel Shekinah
389,Bardiyah,LY,76.3,clear sky,31.7561,25.0865,بورتو بردية
390,Labuhan,ID,79.25,clear sky,-6.8844,112.2051,DoubleFAG
393,Maniwaki,CA,64.78,overcast clouds,46.3834,-75.966,Centre Chateau Logue
395,Marsa Matruh,EG,76.93,clear sky,31.3525,27.2453,Beau Site
398,Sorokino,RU,65.66,broken clouds,53.75,84.9167,Northern Hotel
400,Mareeba,AU,75.67,clear sky,-17.0,145.4333,Trinity Plains Tourist Park
403,Kenai,US,65.03,broken clouds,60.5544,-151.2583,Aspen Extended Stay Suites
404,Sao Jose Da Coroa Grande,BR,74.05,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
405,Troitsko-Pechorsk,RU,73.38,broken clouds,62.7084,56.1964,Pechora Gostinitsa
407,Canarana,BR,62.91,scattered clouds,-11.6847,-41.7689,POSTO E POUSADA CANARANA
408,Bar Harbor,US,62.65,few clouds,44.3876,-68.2039,Atlantic Oceanside Hotel & Event Center
409,Yasnyy,RU,61.81,broken clouds,51.0333,59.8742,Gostinitsa
410,Nantucket,US,68.11,clear sky,41.2835,-70.0995,Jared Coffin House
411,Kibala,TD,75.15,thunderstorm,9.1104,18.3463,Prasant Hotels
413,Turukhansk,RU,61.92,overcast clouds,65.8167,87.9833,"ООО ""Туруханская пушнина"""
419,Parabel,RU,70.3,scattered clouds,58.6978,81.4825,Housing Complex Gazprom Transgaz Tomsk
420,Neiafu,TO,79.48,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
421,Fasa,IR,76.24,clear sky,28.9383,53.6482,Fasa University Boys' Dormitory
423,Neyshabur,IR,72.54,clear sky,36.2133,58.7958,Amiran Hotel & Commercial Complex
425,Kabinda,CD,61.77,scattered clouds,-6.1333,24.4833,Village Mianda Mutole
426,Niltepec,MX,77.95,overcast clouds,16.5667,-94.6167,Hotel Palma Real
430,Clifton,US,72.84,clear sky,40.8584,-74.1638,Quality Urban Housing
435,Waddan,LY,79.65,clear sky,29.1614,16.139,محل الشريف محمد العايب
439,Kashan,IR,78.39,clear sky,33.9831,51.4364,Manouchehri Traditional House
444,Alta Floresta,BR,75.09,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
445,Sucua,EC,66.16,light rain,-2.4667,-78.1667,Finca el Piura
447,Barvinkove,UA,66.7,clear sky,48.9097,37.0205,"Khostel ""Fortetsya"""
448,Aberdeen,GB,61.48,scattered clouds,57.1437,-2.0981,Premier Inn Aberdeen City Centre hotel
449,Chumikan,RU,79.34,overcast clouds,54.7183,135.315,Fortuna
451,Linhares,BR,68.05,broken clouds,-19.3911,-40.0722,Hotel Conceição
453,Manta,EC,71.38,broken clouds,-0.95,-80.7333,Balandra Hotel
454,Palora,EC,64.04,light rain,-1.7,-77.9333,Rancho grande
459,Bonthe,SL,75.79,light rain,7.5264,-12.505,Bonthe Holiday Village
461,Salinopolis,BR,78.01,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
465,Natal,BR,75.42,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
471,Sohag,EG,77.29,clear sky,26.557,31.6948,Civil Registry - Sohag 1
473,Trairi,BR,74.84,overcast clouds,-3.2778,-39.2689,janelas do mar
475,Yarim,YE,61.48,overcast clouds,14.298,44.3779,وليد المسوري ابو اسد
476,Xining,CN,75.47,scattered clouds,36.6167,101.7667,Super Leisure Hotel
477,Mitsamiouli,KM,75.49,clear sky,-11.3847,43.2844,Foyer ADM
480,Alyangula,AU,74.59,clear sky,-13.8483,136.4192,Groote Eylandt Lodge
481,Hobyo,SO,75.22,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
485,Omboue,GA,69.8,scattered clouds,-1.5746,9.2618,Hotel Olako
488,Septemvri,BG,61.63,clear sky,42.2167,24.1,Marina Glamping
489,Burriana,ES,74.7,clear sky,39.889,-0.085,Hotel Beatriz
494,Milford,US,70.77,clear sky,41.2223,-73.0565,Homewood Suites by Hilton Stratford
496,Humaita,BR,77.34,broken clouds,-7.5061,-63.0208,Corrêa Hotel
497,Back Mountain,US,73.53,scattered clouds,41.3359,-75.9963,Country Club Apartments
498,Sault Sainte Marie,CA,63.16,clear sky,46.5168,-84.3333,Comfort Inn
500,Suntar,RU,69.04,broken clouds,62.1444,117.6319,Гостевая квартира
501,Portland,US,78.42,scattered clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
502,Ondarroa,ES,64.8,scattered clouds,43.3167,-2.4167,Hotel Arbe
504,Santa Cruz De La Palma,ES,68.14,few clouds,28.6835,-17.7642,H10 Taburiente Playa
505,Bassano,CA,76.23,scattered clouds,50.7834,-112.4685,Imperial Hunter Hotel
509,Presidente Epitacio,BR,67.82,clear sky,-21.7633,-52.1156,Hotel Itaverá
510,Carnduff,CA,63.37,overcast clouds,49.1667,-101.8009,Western Star All Suites Hotel Carnduff
513,Mandalgovi,MN,64.83,clear sky,45.7625,106.2708,В.Ганбат
514,Smoky Lake,CA,68.16,overcast clouds,54.1169,-112.4686,Country Garden Hotel
516,Orlik,RU,61.63,light rain,52.5178,99.825,Gostevoy Dom Mini Gostinitsa
517,Shirochanka,RU,69.44,clear sky,46.6497,38.3978,Prozhivaniye
518,Ushtobe,KZ,78.51,clear sky,45.2514,77.9838,"Gostinitsa ""Diyar"""
520,Barcelos,PT,77.14,clear sky,41.5388,-8.6151,Hotel Restaurante Bagoeira
522,Roccapiemonte,IT,77.38,light rain,40.7607,14.6926,Bed and Breakfast La Torretta Bianca
524,Nieuw Amsterdam,SR,79.02,few clouds,5.8833,-55.0833,Hotel Stardust
526,Kondinskoye,RU,70.27,clear sky,59.6481,67.41,Gostinitsa
527,Normandin,CA,61.11,overcast clouds,48.8333,-72.5321,Chambres MB Normandin (Lac St -Jean)
530,Manzanillo,CU,76.01,scattered clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
531,Javanrud,IR,74.39,clear sky,34.7961,46.5172,Bonnie power
533,Mount Isa,AU,69.57,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
535,Dawlatabad,AF,78.15,clear sky,36.4141,64.9053,WASIM ASGAR KHAN
536,Woodstock,CA,67.42,overcast clouds,43.1334,-80.7497,"Holiday Inn Express & Suites Woodstock South, an IHG Hotel"
538,Isaccea,RO,64.89,scattered clouds,45.2667,28.4667,Pension Danube Isaccea
539,Mancio Lima,BR,72.45,clear sky,-7.6142,-72.8958,Motel Asas Do Desejo
540,Sioux Lookout,CA,62.67,scattered clouds,50.1001,-91.917,Knobby's Fly-In Camps
542,Tomatlan,MX,78.6,overcast clouds,19.9333,-105.25,El Salvial
544,Agadir,MA,72.05,clear sky,30.4202,-9.5982,Iberostar Founty Beach
547,Sarakhs,IR,69.94,clear sky,36.5449,61.1577,مهمان سرای شرکت گاز
548,Onguday,RU,65.07,overcast clouds,50.75,86.15,Barskaya Usad'ba
549,Kelamangalam,IN,70.93,overcast clouds,12.6,77.85,RK biriyani hotel
551,Imbituba,BR,66.09,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
552,Smithers,CA,61.12,light intensity shower rain,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
554,Shanhetun,CN,75.87,overcast clouds,44.7,127.2,Xingle Guesthouse
555,Bowen,AU,68.68,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
558,Beyneu,KZ,76.64,clear sky,45.3167,55.2,NUR
563,Guiratinga,BR,67.32,clear sky,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
564,Manoel Urbano,BR,75.27,broken clouds,-8.8389,-69.2597,Baixada Beira Rio
566,Doume,CM,65.43,overcast clouds,4.2333,13.45,Hotel Universel
567,Mackay,AU,74.68,clear sky,-21.15,149.2,International Lodge Motel
572,Gat,IL,77.4,clear sky,31.61,34.7642,OlusHome
574,Tommot,RU,68.05,light rain,58.9564,126.2925,Gostinitsa Tommot
575,Chimore,BO,76.03,overcast clouds,-16.9833,-65.1333,Bichito
578,Praia,CV,75.74,broken clouds,14.9215,-23.5087,LT Aparthotel
580,El Sauzal,MX,64.74,few clouds,31.9,-116.6833,Hotel Las Rosas & Spa
581,Mehriz,IR,79.3,few clouds,31.5917,54.4318,Mehrgard dwelling/سرای مهرگرد
583,Gurlan,UZ,69.71,scattered clouds,41.8447,60.3919,ÒJIQ OVUL
587,Kismayo,SO,75.4,scattered clouds,-0.3582,42.5454,Agan-Hotel
588,Jacareacanga,BR,78.37,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
589,Yola,NG,75.02,few clouds,9.2,12.4833,Muna Hotel
590,Zyryanovsk,KZ,61.86,overcast clouds,49.7386,84.2719,Гостиница «ЭВЕРЕСТ»
592,Conde,BR,72.86,moderate rain,-7.2597,-34.9075,Pousada Beija Flor
593,Flinders,AU,60.06,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
594,Camana,PE,60.08,few clouds,-16.6228,-72.7111,Hostal Morales
597,Altagracia De Orituco,VE,70.41,broken clouds,9.8601,-66.3814,Posada Quinta Mi Refugio
598,Quelimane,MZ,64.35,clear sky,-17.8786,36.8883,Hotel Flamingo
600,Nizwa,OM,79.0,light rain,22.9333,57.5333,Orient Apartments
601,Hudson Bay,CA,60.94,few clouds,52.85,-102.3842,Norwood Motel LTD
603,Vanino,RU,77.77,broken clouds,49.0869,140.2543,Гостиница 5 Звезд
605,Timbauba,BR,71.26,overcast clouds,-7.5053,-35.3183,Alane’s house
607,Bilibino,RU,60.93,overcast clouds,68.0546,166.4372,Gostinitsa Severyanka
608,Buta,CD,68.13,broken clouds,2.7858,24.73,Hôtel BOPANDO
609,Mangaratiba,BR,61.66,broken clouds,-22.9597,-44.0406,Portobello Resort & Safari
612,Yakeshi,CN,74.91,broken clouds,49.2833,120.7333,Longhua Hotel
614,Beberibe,BR,75.63,overcast clouds,-4.1797,-38.1306,Villa Arte Pousada Morro Branco
616,Miracema Do Tocantins,BR,77.97,scattered clouds,-9.5618,-48.3967,Miami Apart Hotel
617,Bunia,CD,63.84,light rain,1.5667,30.25,Gold Star International Hotel
621,Charters Towers,AU,69.22,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
623,Krasnosilka,UA,66.13,scattered clouds,46.6226,30.7742,Готель Шанхай Блюз
624,Fairview,US,72.63,clear sky,40.8126,-73.999,Homewood Suites by Hilton Edgewater-NYC Area
632,Tarrega,ES,64.47,clear sky,41.647,1.1396,Hotel Ciutat de Tàrrega
634,Wamba,NG,71.51,overcast clouds,8.9333,8.6,Roma Zee Guest House Annex
640,Jumla,NP,68.54,broken clouds,29.2747,82.1838,Royal Garden Hotel
641,Quatre Cocos,MU,69.91,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
642,Jos,NG,65.43,broken clouds,9.9167,8.9,Silk Suites
643,Bayir,TR,61.32,clear sky,37.2687,28.2167,Hotel Babadag
644,Blackwater,AU,66.87,clear sky,-23.5833,148.8833,Blackwater Motor Inn
646,Nurota,UZ,74.8,clear sky,40.5614,65.6886,Guest House Ruslan Nurata & Tours
649,Buchanan,LR,76.35,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
650,Horta,PT,66.56,broken clouds,38.5333,-28.6333,Hotel do Canal | Horta - Faial
651,Conceicao Da Barra,BR,73.0,overcast clouds,-18.5933,-39.7322,Cricaré Praia Hotel
653,Tautira,PF,78.26,clear sky,-17.7333,-149.15,Pension Oaoa
656,Dharchula,IN,78.6,broken clouds,29.85,80.5333,Mahara Hotel
659,Puerto Lopez,CO,72.55,broken clouds,4.0845,-72.956,Resguardo Indigena Maguare
662,Bend,US,72.07,scattered clouds,44.0582,-121.3153,Fairfield Inn & Suites by Marriott Bend Downtown
