City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
178,Deep River,CA,2022-07-07 23:15:14,46.1001,-77.4995,78.94,47,26,7.54
179,Strezhevoy,RU,2022-07-07 23:15:14,60.7333,77.5889,60.78,81,86,4.09
180,Balkhash,KZ,2022-07-07 23:15:15,46.844,74.9804,66.58,55,3,8.79
181,Nhulunbuy,AU,2022-07-07 23:15:15,-12.2333,136.7667,74.01,64,99,11.5
182,Sorong,ID,2022-07-07 23:15:16,-0.8833,131.25,77.58,90,100,11.03
183,Phan Thiet,VN,2022-07-07 23:13:54,10.9333,108.1,78.94,85,100,7.52
184,Camacha,PT,2022-07-07 23:16:16,33.0833,-16.3333,63.82,77,40,11.5
185,Baykit,RU,2022-07-07 23:16:16,61.67,96.37,57.63,84,86,3.67
186,Richards Bay,ZA,2022-07-07 23:16:17,-28.783,32.0377,62.8,93,0,5.35
187,Nouadhibou,MR,2022-07-07 23:16:17,20.931,-17.0347,69.78,83,3,20.71
188,Nan,TH,2022-07-07 23:16:17,18.8333,100.6667,73.42,94,92,0.0
189,Broome,US,2022-07-07 23:16:18,42.2506,-75.833,80.37,67,56,4.0
190,College,US,2022-07-07 23:16:18,64.8569,-147.8028,77.0,47,75,0.0
191,Kapaa,US,2022-07-07 23:15:56,22.0752,-159.319,82.72,71,100,17.27
192,Kaitangata,NZ,2022-07-07 23:16:19,-46.2817,169.8464,47.59,93,100,22.93
193,Kungurtug,RU,2022-07-07 23:16:19,50.5994,97.5228,48.79,85,59,1.32
194,Yershov,RU,2022-07-07 23:16:19,51.3513,48.2766,65.62,57,0,3.38
195,Kiruna,SE,2022-07-07 23:15:56,67.8557,20.2251,47.32,81,100,3.44
196,Daru,PG,2022-07-07 23:16:20,-9.0763,143.2092,78.44,89,98,14.56
197,Mitchell,US,2022-07-07 23:15:35,43.7094,-98.0298,72.73,94,75,0.0
198,Aviles,ES,2022-07-07 23:16:20,43.5547,-5.9248,66.92,86,75,5.75
199,Atuona,PF,2022-07-07 23:16:21,-9.8,-139.0333,78.06,71,7,21.52
200,Nueva Concepcion,GT,2022-07-07 23:16:21,14.2,-91.3,81.0,84,84,7.38
201,Hukuntsi,BW,2022-07-07 23:16:21,-24.0,21.75,56.98,31,0,10.02
202,Cabo San Lucas,MX,2022-07-07 23:16:21,22.8909,-109.9124,95.18,45,0,11.5
203,Pangkalanbuun,ID,2022-07-07 23:16:22,-2.6833,111.6167,73.65,97,63,2.46
204,Chapais,CA,2022-07-07 23:12:09,49.7834,-74.8492,53.49,91,99,9.04
